DEBUG 2026-02-17 10:58:50,780 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\celery\exceptions.py first seen with mtime 1771270746.4052532
DEBUG 2026-02-17 10:58:50,780 autoreload File C:\Python311\Lib\urllib\__init__.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,781 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1771270611.9739945
DEBUG 2026-02-17 10:58:50,782 autoreload File C:\Python311\Lib\platform.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,782 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\rest_framework\validators.py first seen with mtime 1771270721.8209596
DEBUG 2026-02-17 10:58:50,782 autoreload File C:\Python311\Lib\datetime.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,783 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1771270611.5723891
DEBUG 2026-02-17 10:58:50,783 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\charset_normalizer\md__mypyc.cp311-win_amd64.pyd first seen with mtime 1771270539.8023367
DEBUG 2026-02-17 10:58:50,783 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1771270611.5618372
DEBUG 2026-02-17 10:58:50,784 autoreload File C:\Python311\Lib\email\quoprimime.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,785 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1771270606.5660715
DEBUG 2026-02-17 10:58:50,785 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\db\backends\postgresql\compiler.py first seen with mtime 1771270611.3992827
DEBUG 2026-02-17 10:58:50,786 autoreload File C:\Python311\Lib\opcode.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,787 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1771270605.328436
DEBUG 2026-02-17 10:58:50,788 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1771270609.3712225
DEBUG 2026-02-17 10:58:50,788 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\utils\formats.py first seen with mtime 1771270611.9987094
DEBUG 2026-02-17 10:58:50,789 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\contrib\postgres\fields\utils.py first seen with mtime 1771270609.3852272
DEBUG 2026-02-17 10:58:50,790 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\celery\utils\text.py first seen with mtime 1771270746.587126
DEBUG 2026-02-17 10:58:50,790 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\amqp\exceptions.py first seen with mtime 1771270651.1287625
DEBUG 2026-02-17 10:58:50,791 autoreload File C:\Python311\Lib\bisect.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,791 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\template\context.py first seen with mtime 1771270611.879001
DEBUG 2026-02-17 10:58:50,792 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1771270611.5696192
DEBUG 2026-02-17 10:58:50,793 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\kombu\common.py first seen with mtime 1771270717.8246005
DEBUG 2026-02-17 10:58:50,793 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\celery\utils\objects.py first seen with mtime 1771270746.5770204
DEBUG 2026-02-17 10:58:50,794 autoreload File C:\Python311\Lib\asyncio\runners.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,794 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1771270611.6116495
DEBUG 2026-02-17 10:58:50,795 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1771270612.1181626
DEBUG 2026-02-17 10:58:50,796 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\idna\__init__.py first seen with mtime 1771270538.8208418
DEBUG 2026-02-17 10:58:50,796 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1771270611.910041
DEBUG 2026-02-17 10:58:50,797 autoreload File C:\Python311\Lib\asyncio\tasks.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,797 autoreload File C:\Python311\Lib\gettext.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,798 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\requests\adapters.py first seen with mtime 1771270594.411107
DEBUG 2026-02-17 10:58:50,798 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1771270611.9446373
DEBUG 2026-02-17 10:58:50,799 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1771270611.1871986
DEBUG 2026-02-17 10:58:50,799 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1771270611.1809902
DEBUG 2026-02-17 10:58:50,800 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\amqp\serialization.py first seen with mtime 1771270651.1393049
DEBUG 2026-02-17 10:58:50,800 autoreload File C:\Python311\Lib\email\header.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,800 autoreload File C:\Python311\Lib\urllib\parse.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,801 autoreload File C:\Python311\Lib\json\__init__.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,801 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1771270611.5744016
DEBUG 2026-02-17 10:58:50,801 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\yaml\constructor.py first seen with mtime 1771270500.9189613
DEBUG 2026-02-17 10:58:50,802 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\psycopg2\extras.py first seen with mtime 1771270502.7678757
DEBUG 2026-02-17 10:58:50,802 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1771270611.1761332
